Date,Price,Open,High,Low,Change %,USD_per_mt,USD_per_kg,VND_per_kg
2020-10-07,121.91,121.91,121.91,121.91,0.06,121.91,0.12190999999999999,3206.2329999999997
2020-10-08,122.46,122.46,122.46,122.46,0.45,122.46,0.12246,3220.698
2020-10-09,123.49,123.49,123.49,123.49,0.84,123.49,0.12348999999999999,3247.787
2020-10-12,123.25,123.25,123.25,123.25,-0.19,123.25,0.12325,3241.475
2020-10-13,122.43,122.43,122.43,122.43,-0.67,122.43,0.12243000000000001,3219.909
2020-10-14,121.48,121.48,121.48,121.48,-0.78,121.48,0.12148,3194.924
2020-10-15,121.13,121.13,121.13,121.13,-0.29,121.13,0.12113,3185.719
2020-10-16,121.44,121.44,121.44,121.44,0.26,121.44,0.12143999999999999,3193.872
2020-10-19,121.53,121.53,121.53,121.53,0.07,121.53,0.12153,3196.239
2020-10-20,121.51,121.51,121.51,121.51,-0.02,121.51,0.12151,3195.713
2020-10-21,121.56,121.56,121.56,121.56,0.04,121.56,0.12156,3197.0280000000002
2020-10-22,121.34,121.34,121.34,121.34,-0.18,121.34,0.12134,3191.242
2020-10-23,121.02,121.02,121.02,121.02,-0.26,121.02,0.12102,3182.826
2020-10-26,120.75,120.75,120.75,120.75,-0.22,120.75,0.12075,3175.725
2020-10-27,120.63,120.63,120.63,120.63,-0.1,120.63,0.12063,3172.569
2020-10-28,120.45,120.45,120.45,120.45,-0.15,120.45,0.12045,3167.835
2020-10-29,120.28,120.28,120.28,120.28,-0.14,120.28,0.12028,3163.364
2020-10-30,120.19,120.19,120.19,120.19,-0.07,120.19,0.12018999999999999,3160.997
2020-11-02,117.69,117.69,117.69,117.69,-2.08,117.69,0.11769,3095.2470000000003
2020-11-03,116.47,116.47,116.47,116.47,-1.04,116.47,0.11647,3063.161
2020-11-04,116.84,116.84,116.84,116.84,0.32,116.84,0.11684,3072.892
2020-11-05,116.92,116.92,116.92,116.92,0.07,116.92,0.11692,3074.996
2020-11-06,117.63,117.63,117.63,117.63,0.61,117.63,0.11763,3093.669
2020-11-09,119.84,119.84,119.84,119.84,1.88,119.84,0.11984,3151.792
2020-11-10,120.3,120.3,120.3,120.3,0.38,120.3,0.12029999999999999,3163.89
2020-11-11,121.59,121.59,121.59,121.59,1.07,121.59,0.12159,3197.817
2020-11-12,121.0,121.0,121.0,121.0,-0.49,121.0,0.121,3182.2999999999997
2020-11-13,120.8,120.8,120.8,120.8,-0.17,120.8,0.12079999999999999,3177.04
2020-11-16,121.22,121.22,121.22,121.22,0.35,121.22,0.12122,3188.086
2020-11-17,122.0,122.0,122.0,122.0,0.64,122.0,0.122,3208.6
2020-11-18,122.29,122.29,122.29,122.29,0.24,122.29,0.12229000000000001,3216.2270000000003
2020-11-19,122.84,122.84,122.84,122.84,0.45,122.84,0.12284,3230.692
2020-11-20,123.35,123.35,123.35,123.35,0.42,123.35,0.12334999999999999,3244.1049999999996
2020-11-23,123.18,123.18,123.18,123.18,-0.14,123.18,0.12318000000000001,3239.6340000000005
2020-11-24,123.4,123.4,123.4,123.4,0.18,123.4,0.12340000000000001,3245.42
2020-11-25,123.63,123.63,123.63,123.63,0.19,123.63,0.12362999999999999,3251.4689999999996
2020-11-27,124.25,124.25,124.25,124.25,0.5,124.25,0.12425,3267.775
2020-11-30,124.62,124.62,124.62,124.62,0.3,124.62,0.12462000000000001,3277.5060000000003
2020-12-01,130.81,130.81,130.81,130.81,4.97,130.81,0.13081,3440.3030000000003
2020-12-02,134.56,134.56,134.56,134.56,2.87,134.56,0.13456,3538.9280000000003
2020-12-03,135.66,135.66,135.66,135.66,0.82,135.66,0.13566,3567.858
2020-12-04,141.53,141.53,141.53,141.53,4.33,141.53,0.14153,3722.2389999999996
2020-12-07,144.34,144.34,144.34,144.34,1.99,144.34,0.14434,3796.142
2020-12-08,145.04,145.04,145.04,145.04,0.48,145.04,0.14504,3814.552
2020-12-09,146.28,146.28,146.28,146.28,0.85,146.28,0.14628,3847.1639999999998
2020-12-10,150.7,150.7,150.7,150.7,3.02,150.7,0.1507,3963.41
2020-12-11,152.02,152.02,152.02,152.02,0.88,152.02,0.15202000000000002,3998.126
2020-12-14,149.6,149.6,149.6,149.6,-1.59,149.6,0.14959999999999998,3934.4799999999996
2020-12-15,150.31,150.31,150.31,150.31,0.47,150.31,0.15031,3953.153
2020-12-16,150.75,150.75,150.75,150.75,0.29,150.75,0.15075,3964.725
2020-12-17,151.37,151.37,151.37,151.37,0.41,151.37,0.15137,3981.031
2020-12-18,152.49,152.49,152.49,152.49,0.74,152.49,0.15249000000000001,4010.4870000000005
2020-12-21,155.11,155.11,155.11,155.11,1.72,155.11,0.15511000000000003,4079.3930000000005
2020-12-22,154.49,154.49,154.49,154.49,-0.4,154.49,0.15449000000000002,4063.0870000000004
2020-12-23,154.5,154.5,154.5,154.5,0.01,154.5,0.1545,4063.35
2020-12-24,155.02,155.02,155.02,155.02,0.34,155.02,0.15502000000000002,4077.0260000000003
2020-12-28,155.35,155.35,155.35,155.35,0.21,155.35,0.15535,4085.7049999999995
2020-12-29,155.57,155.57,155.57,155.57,0.14,155.57,0.15556999999999999,4091.4909999999995
2020-12-30,155.7,155.7,155.7,155.7,0.08,155.7,0.15569999999999998,4094.9099999999994
2020-12-31,155.84,155.84,155.84,155.84,0.09,155.84,0.15584,4098.592000000001
2021-01-04,163.93,164.44,164.44,164.44,5.19,163.93,0.16393000000000002,4311.359
2021-01-05,166.08,166.08,166.08,166.08,1.31,166.08,0.16608,4367.904
2021-01-06,166.76,166.76,166.76,166.76,0.41,166.76,0.16676,4385.788
2021-01-07,169.31,169.31,169.31,169.31,1.53,169.31,0.16931000000000002,4452.853
2021-01-08,169.52,169.52,169.52,169.52,0.12,169.52,0.16952,4458.376
2021-01-11,168.99,168.99,168.99,168.99,-0.31,168.99,0.16899,4444.437
2021-01-12,169.33,169.33,169.33,169.33,0.2,169.33,0.16933,4453.379
2021-01-13,169.51,169.51,169.51,169.51,0.11,169.51,0.16951,4458.113
2021-01-14,169.8,169.8,169.8,169.8,0.17,169.8,0.1698,4465.74
2021-01-15,169.97,169.97,169.97,169.97,0.1,169.97,0.16997,4470.211
2021-01-19,170.03,170.03,170.03,170.03,0.04,170.03,0.17003000000000001,4471.789000000001
2021-01-20,169.85,169.85,169.85,169.85,-0.11,169.85,0.16985,4467.055
2021-01-21,169.98,169.98,169.98,169.98,0.08,169.98,0.16998,4470.474
2021-01-22,169.82,169.82,169.82,169.82,-0.09,169.82,0.16982,4466.266
2021-01-25,169.78,169.78,169.78,169.78,-0.02,169.78,0.16978000000000001,4465.214
2021-01-26,169.52,169.52,169.52,169.52,-0.15,169.52,0.16952,4458.376
2021-01-27,169.26,169.26,169.26,169.26,-0.15,169.26,0.16926,4451.538
2021-01-28,168.63,168.63,168.63,168.63,-0.37,168.63,0.16863,4434.969
2021-01-29,168.13,168.13,168.13,168.13,-0.3,168.13,0.16813,4421.819
2021-02-01,154.74,154.74,154.74,154.74,-7.96,154.74,0.15474000000000002,4069.6620000000003
2021-02-02,148.42,148.42,148.42,148.42,-4.08,148.42,0.14842,3903.446
2021-02-03,150.81,150.81,150.81,150.81,1.61,150.81,0.15081,3966.303
2021-02-04,155.33,155.33,155.33,155.33,3.0,155.33,0.15533000000000002,4085.1790000000005
2021-02-05,153.9,153.9,153.9,153.9,-0.92,153.9,0.1539,4047.57
2021-02-08,156.1,156.1,156.1,156.1,1.43,156.1,0.1561,4105.429999999999
2021-02-09,158.15,158.15,158.15,158.15,1.31,158.15,0.15815,4159.345
2021-02-10,159.74,159.74,159.74,159.74,1.01,159.74,0.15974000000000002,4201.162
2021-02-11,160.08,160.08,160.08,160.08,0.21,160.08,0.16008,4210.104
2021-02-12,159.65,159.65,159.65,159.65,-0.27,159.65,0.15965000000000001,4198.795
2021-02-16,161.0,161.0,161.0,161.0,0.85,161.0,0.161,4234.3
2021-02-17,161.99,161.99,161.99,161.99,0.61,161.99,0.16199000000000002,4260.337
2021-02-18,164.59,164.59,164.59,164.59,1.61,164.59,0.16459000000000001,4328.717000000001
2021-02-19,164.07,164.07,164.07,164.07,-0.32,164.07,0.16407,4315.041
2021-02-22,163.87,163.87,163.87,163.87,-0.12,163.87,0.16387000000000002,4309.781000000001
2021-02-23,164.16,164.16,164.16,164.16,0.18,164.16,0.16416,4317.408
2021-02-24,164.53,164.53,164.53,164.53,0.23,164.53,0.16453,4327.139
2021-02-25,165.02,165.02,165.02,165.02,0.3,165.02,0.16502,4340.026
2021-02-26,165.61,165.61,165.61,165.61,0.36,165.61,0.16561,4355.543000000001
2021-03-01,171.74,171.74,171.74,171.74,3.7,171.74,0.17174,4516.762
2021-03-02,173.16,173.16,173.16,173.16,0.83,173.16,0.17316,4554.108
2021-03-03,174.12,174.12,174.12,174.12,0.55,174.12,0.17412,4579.356
2021-03-04,174.94,174.94,174.94,174.94,0.47,174.94,0.17493999999999998,4600.922
2021-03-05,173.12,173.12,173.12,173.12,-1.04,173.12,0.17312,4553.056
2021-03-08,173.56,173.56,173.56,173.56,0.25,173.56,0.17356,4564.628
2021-03-09,168.43,168.43,168.43,168.43,-2.96,168.43,0.16843,4429.709
2021-03-10,168.44,168.44,168.44,168.44,0.01,168.44,0.16844,4429.972
2021-03-11,171.28,171.28,171.28,171.28,1.69,171.28,0.17128,4504.664
2021-03-12,168.26,168.26,168.26,168.26,-1.76,168.26,0.16826,4425.237999999999
2021-03-15,168.26,168.26,168.26,168.26,0.0,168.26,0.16826,4425.237999999999
2021-03-16,168.26,168.26,168.26,168.26,0.0,168.26,0.16826,4425.237999999999
2021-03-17,168.21,168.21,168.21,168.21,-0.03,168.21,0.16821,4423.923
2021-03-18,168.21,168.21,168.21,168.21,0.0,168.21,0.16821,4423.923
2021-03-19,168.0,168.0,168.0,168.0,-0.12,168.0,0.168,4418.400000000001
2021-03-22,167.37,167.37,167.37,167.37,-0.38,167.37,0.16737,4401.831
2021-03-23,167.01,167.01,167.01,167.01,-0.22,167.01,0.16701,4392.362999999999
2021-03-24,167.34,167.34,167.34,167.34,0.2,167.34,0.16734000000000002,4401.042
2021-03-25,167.05,167.05,167.05,167.05,-0.17,167.05,0.16705,4393.415
2021-03-26,166.89,166.89,166.89,166.89,-0.1,166.89,0.16688999999999998,4389.206999999999
2021-03-29,166.97,166.97,166.97,166.97,0.05,166.97,0.16697,4391.311000000001
2021-03-30,166.99,166.99,166.99,166.99,0.01,166.99,0.16699,4391.8369999999995
2021-03-31,166.9,166.9,166.9,166.9,-0.05,166.9,0.1669,4389.47
2021-04-01,163.68,163.68,163.68,163.68,-1.93,163.68,0.16368000000000002,4304.784000000001
